"","ID","TIME_ABSOLUTE","TIME_ELAPSED","X","Y","Z","U_Seeb","U_Seeb_StdDev","T_Probe","T_Sample","dT","X.","X._StdDev","T01...Column","T02...Room","T03...Device","std_dev_ID","std_dev_TIME_ABSOLUTE","std_dev_TIME_ELAPSED","std_dev_X","std_dev_Y","std_dev_Z","std_dev_U_Seeb","std_dev_U_Seeb_StdDev","std_dev_T_Probe","std_dev_T_Sample","std_dev_dT","std_dev_X.","std_dev_X._StdDev","std_dev_T01...Column","std_dev_T02...Room","std_dev_T03...Device"
"15",13,"2021.12.01 18:09:48",474.9285,1.95,0,-3.48,1.17354,0.0075528,36.56114,26.89036,6,195.5881,1.25866,28.08016,23.3526,26.79672,0,NA,9.30659402037072,0,0,0,0.0418476164195764,0.00581279534303419,0.0228934051639314,0.0221727986505993,0,6.97755317643657,0.968537726678729,0.0407550364985725,0.0689305810217785,0.0294822319372198
"16",14,"2021.12.01 18:09:48",511.67296,0,0.15,-3.48,1.14144,0.00628946,36.581,26.89652,6,190.24128,1.048244,28.04586,23.29486,26.80382,0,NA,9.58050194055614,0,0,0,0.0202559374011671,0.00403358656260158,0.0250295824975167,0.0169306526749569,0,3.37304774232444,0.672152964495434,0.0368774727984445,0.0416456840500911,0.0415956367904135
"17",15,"2021.12.01 18:09:48",545.90892,0.15,0.15,-3.48,1.12746,0.00489854,36.54592,26.89476,6,187.90924,0.81636,27.96872,23.31222,26.8005,0,NA,9.30662725250129,0,0,0,0.0118468561230396,0.00297286856554406,0.0242859424359052,0.0271612407669449,0,1.97371740961061,0.495342470418195,0.0326014876961153,0.0648145199781657,0.0429707458627376
"18",16,"2021.12.01 18:09:48",580.55682,0.3,0.15,-3.48,1.13462,0.00400406,36.5586,26.9019,6,189.10632,0.667424,27.9566,23.29248,26.78518,0,NA,9.6198700085812,0,0,0,0.00682912878777373,0.00276658140454967,0.0376437909886886,0.0334425627008457,0,1.13352343469379,0.461208943842159,0.0482221422170358,0.034708601239463,0.0403681433806407
"19",17,"2021.12.01 18:09:48",616.06254,0.45,0.15,-3.48,1.10364,0.003891,36.56648,26.8964,6,183.94126,0.64852,27.95022,23.2793,26.80182,0,NA,9.61980676432746,0,0,0,0.00819347301209926,0.0021301814476706,0.0198135559655494,0.0167184030337827,0,1.36586865693595,0.35507978258414,0.0433260545168851,0.0265925741514433,0.058212601728492
"20",18,"2021.12.01 18:09:48",650.5918,0.6,0.15,-3.48,1.1196,0.0061046,36.58514,26.89326,6,186.59832,1.01728,27.90172,23.28884,26.7574,0,NA,9.65932163171927,0,0,0,0.0291228432677855,0.00158594019433269,0.019919412641944,0.0157147383051712,0,4.84997065321018,0.264274576908185,0.0285826345881556,0.0723657584773352,0.0384136043609558
"21",19,"2021.12.01 18:09:48",685.01502,0.75,0.15,-3.48,1.11618,0.0089328,36.5553,26.89704,6,186.03006,1.48882,27.88632,23.31646,26.77156,0,NA,9.61979095105502,0,0,0,0.0162439835015922,0.00374539887061445,0.0183222542281255,0.0275247706620783,0,2.70617587898495,0.624169658025765,0.0690216777541666,0.0609118461384976,0.0729757356934483
"22",20,"2021.12.01 18:09:48",720.30558,0.9,0.15,-3.48,1.1336,0.0059218,36.56508,26.88188,6,188.93628,0.98708,27.84182,23.30246,26.8017,0,NA,9.26536454717243,0,0,0,0.0317941032268564,0.00380434195361037,0.0182058232442277,0.0218722884033656,0,5.29824290987116,0.634126585943217,0.0624999759999942,0.0176555373749995,0.0202963050824532
"23",21,"2021.12.01 18:09:48",754.97836,1.05,0.15,-3.48,1.11144,0.0040214,36.54322,26.88606,6,185.24146,0.6703,27.74796,23.26096,26.81734,0,NA,9.62470964746469,0,0,0,0.01561899484602,0.00348533933785507,0.0619671041763288,0.0429204263725334,0,2.59972570822385,0.580949920389013,0.0868934577514331,0.0702770090427878,0.02551495639816
"24",22,"2021.12.01 18:09:48",788.64968,1.2,0.15,-3.48,1.12798,0.00583582,36.57932,26.8777,6,187.99336,0.972504,27.73866,23.29492,26.80664,0,NA,8.76379902736249,0,0,0,0.0246926507285062,0.00495920122318101,0.0469182480491312,0.0184632066553998,0,4.11359766177977,0.826431818772728,0.0281846234674149,0.0512246229854367,0.0476123198342618
